#
#Allele symbols are usually of the form xxx<yy>, where the <> enclose the part of the symbol that is superscripted.
#
#Transgene insertions, with symbols of the form Tg(aaa)##bbb, are included in this listing, but notably have no corresponding gene marker.
#
#For details of nomenclature rules, see http://www.informatics.jax.org/mgihome/nomen/index.shtml
#
MGI:2384097	a<2R>	nonagouti 2 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384098	a<3R>	nonagouti 3 Oak Ridge	Chemically induced (other)	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1859958	a<4J>	nonagouti 4 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384122	a<4R>	nonagouti 4 Oak Ridge	Spontaneous	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856427	a<5mnu>	nonagouti 5MNU	Chemically induced (other)	1896452	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384099	a<5R>	nonagouti 5 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:3051139	a<6H>	nonagouti 6 Harwell	Radiation induced	5962396	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:2384100	a<6R>	nonagouti 6 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384101	a<7R>	nonagouti 7 Oak Ridge	Chemically induced (other)	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2384102	a<8R>	nonagouti 8 Oak Ridge	Radiation induced	11861569	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2153085	A<ct>	agouti castaneus	Not Applicable	8111126	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855938	a<da>	nonagouti with dark agouti belly	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855939	a<e>	extreme nonagouti	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:2682758	A<gsfdcc4>	gsf dark coat color 4	Chemically induced (ENU)	12533510	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1855945	A<hvy>	hyper variable yellow	Spontaneous	7751596	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855932	A<i>	intermediate agouti	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856403	A<iapy>	intracisternal A particle yellow	Spontaneous	7926745	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855933	A<iy>	intermediate yellow	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856428	a<j>	jet black	Radiation induced	1896452	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2450142	a<jIs(17;In2)1Gso>	nonagouti insertion 1 Generoso	Radiation induced	2320577	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856429	a<jl10>	jet black lethal 10	Radiation induced	1896452	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005374,MP:0005393
MGI:1856430	a<jl41>	jet black lethal 41	Chemically induced (other)	1896452	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005374,MP:0005393
MGI:1856431	a<jl85>	jet black lethal 85	Radiation induced	1896452	MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005374,MP:0005393
MGI:1855940	a<l>	nonagouti lethal	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005374,MP:0005393
MGI:1855948	a<m-J>	mottled agouti Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855931	a<m>	mottled agouti	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855934	A<s>	agouti suppressor	Radiation induced	5968639	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855935	A<sy>	sienna yellow	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	MP:0001186,MP:0005393
MGI:1856462	a<t-27J>	black and tan 27 Jackson	Spontaneous	5798139	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856524	a<t-2H>	black and tan 2 Harwell	Radiation induced		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855949	a<t-33J>	black and tan 33 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856432	a<t-41J>	black and tan 41 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:2657305	a<t-42J>	black and tan 42 Jackson	Spontaneous	2822532	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856433	a<t-43J>	black and tan 43 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856383	a<t-44J>	black and tan 44 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856434	a<t-46J>	black and tan 46 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856435	a<t-47J>	black and tan 47 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856436	a<t-48J>	black and tan 48 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856437	a<t-49J>	black and tan 49 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856438	a<t-50J>	black and tan 50 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856439	a<t-51J>	black and tan 51 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856440	a<t-52J>	black and tan 52 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856441	a<t-53J>	black and tan 53 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856442	a<t-54J>	black and tan 54 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856443	a<t-55J>	black and tan 55 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1856463	a<t-56J>	black and tan 56 Jackson	Spontaneous	8125260	MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1857385	a<t-57J>	black and tan 57 Jackson	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:3044191	a<t-Lm>	black and tan Lamoreux	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
MGI:1855941	a<t>	black and tan	Spontaneous		MGI:87853	a	NM_015770	ENSMUSG00000027596	
