57,Preputial gland (male),C22174,Preputial gland
134,Preputial gland (sex not specified),000000,Preputial gland (sex not specified)
140,Prostate gland,C22166,Prostate gland
226,Prostate gland - anterior lobe,C22169,Prostate gland - anterior lobe
227,Prostate gland - dorsolateral lobe,000000,Prostate gland - dorsolateral lobe
231,Prostate gland - epithelial cell,000000,Prostate gland - epithelial cell
232,Prostate gland - neuroendocrine cell,000000,Prostate gland - neuroendocrine cell
228,Prostate gland - ventral lobe,C24048,Prostate gland - ventral lobe
156,Renal pelvis,C22737,Renal pelvis
187,Rete ovarii,C22670,Rete ovarii
214,Rete testis,C22175,Rete testis
129,Reticular cell,C24198,Reticular cell
9,Salivary gland,C22503,Salivary gland
19,Salivary gland - Parotid,C22504,Salivary gland - Parotid
125,Salivary gland - Sublingual,C22505,Salivary gland - Sublingual
10,Salivary gland - Submandibular,C22506,Salivary gland - Submandibular
11,Seminal vesicle,C22177,Seminal vesicle
303,Sex cord stromal cell (sex not specified),000000,Sex cord stromal cell (sex not specified)
45,Skin,C22535,Skin
182,Skin - Anogenital region,C22536,Skin - Anogenital region
185,Skin - Dermis,C22537,Skin - Dermis
183,Skin - Dorsal region,C22538,Skin - Dorsal region
124,Skin - Epidermis,C22539,Skin - Epidermis
50,Skin - Epidermis - Basal cell,C22540,Skin - Epidermis - Basal cell
200,Skin - Epidermis - Hair matrix cell,C22541,Skin - Epidermis - Hair matrix cell
165,Skin - Epidermis - Keratinocyte,C22542,Skin - Epidermis - Keratinocyte
346,Skin - Facial region,000000,Skin - Facial region
47,Skin - Hair follicle,C22544,Skin - Hair follicle
341,Skin - Hair follicle - Basal cell,000000,Skin - Hair follicle - Basal cell
345,Skin - Inguinal region,000000,Skin - Inguinal region
146,Skin - Melanocyte,C22543,Skin - Melanocyte
279,Skin gland - Perianal gland,000000,Skin gland - Perianal gland
114,Skin gland - Sebaceous gland,C22546,Skin gland - Sebaceous gland
276,Skin gland - Sweat gland,C22547,Skin gland - Sweat gland
32,Spleen,C22556,Spleen
22,Spleen - Red pulp,C22557,Spleen - Red pulp
70,Spleen - White pulp,C22558,Spleen - White pulp
157,Stem cell,C22563,Stem cell
159,Stomach,C22511,Stomach
304,Stomach - Fundus,000000,Stomach - Fundus
16,Stomach - Glandular,C22513,Stomach - Glandular
63,Stomach - Glandular - Pyloric antrum,C22514,Stomach - Glandular - Pyloric antrum
322,Stomach - Glandular - Pylorus,000000,Stomach - Glandular - Pylorus
252,Stomach - Neuroendocrine cell,000000,Stomach - Neuroendocrine cell
221,Subcutis,000000,Subcutis
132,Synovium,C22709,Synovial membrane
284,Tail,000000,Tail
39,Testis,C22178,Testis
123,Testis - Germ cell,C22179,Testis - Germ cell
83,Testis - Leydig cell (Interstitial cell),000000,Testis - Leydig cell (Interstitial cell)
43,Testis - Seminiferous tubules,C22182,Testis - Seminiferous tubules
241,Testis - Seminiferous tubules - Sertoli cell,C22183,Testis - Seminiferous tubules - Sertoli cell
356,Thoracic cavity,000000,Thoracic cavity
6,Thymus,C22553,Thymus
243,Thymus - Cortex,C22554,Thymus - Cortex
266,Thymus - Medulla,C22555,Thymus - Medulla
29,Thyroid gland,C22650,Thyroid gland
53,Thyroid gland - follicular cell,C22652,Thyroid gland - follicular cell
263,Thyroid gland - medulla,000000,Thyroid gland - medulla
249,Thyroid gland - medulla - C cell,000000,Thyroid gland - medulla - C cell
31,Tongue,C22508,Tongue
180,Tooth,C22502,Tooth
93,Trachea,C22599,Trachea
177,Ureter,C22738,Ureter
272,Urethra,C22739,Urethra
104,Urethra - Gland,C22740,Urethra - Gland
94,Urinary Bladder,000000,Urinary Bladder
211,Urinary Bladder - Transitional cell,000000,Urinary Bladder - Transitional cell
66,Uterus,C22671,Uterus
84,Uterus - Cervix,C22672,Uterus - Cervix
62,Uterus - Endometrium,C22673,Uterus - Endometrium
268,Uterus - Endometrium - Stroma,000000,Uterus - Endometrium - Stroma
92,Vagina,C22676,Vagina
44,Vas deferens,C22185,Vas deferens
112,Vesicular gland,C22186,Vesicular gland
119,Vulva,C22677,Vulva
184,Yolk sac,C22678,Yolk sac
